Posição(0)| NOME: TAG_ABERTURA | Valor: <?php | Linha: 1
Posição(93)| NOME: OPERADOR_COMPARACAO | Valor: > | Linha: 25
Posição(94)| NOME: NUMBER | Valor: 1 | Linha: 25
Posição(95)| NOME: NUMBER | Valor: 2 | Linha: 25
Posição(96)| NOME: OPERADOR_LOGICO | Valor: && | Linha: 25
Posição(97)| NOME: VARIAVEL | Valor: $hora | Linha: 25
Posição(98)| NOME: OPERADOR_COMPARACAO | Valor: <= | Linha: 25
Posição(99)| NOME: NUMBER | Valor: 1 | Linha: 25
Posição(100)| NOME: NUMBER | Valor: 8 | Linha: 25
Posição(101)| NOME: DELIMITADOR | Valor: ")" | Linha: 25
Posição(102)| NOME: PALAVRA_RESERVADA | Valor: echo | Linha: 26
Posição(103)| NOME: DELIMITADOR | Valor: """ | Linha: 26
Posição(104)| NOME: STRING | Valor: tarde | Linha: 26
Posição(105)| NOME: DELIMITADOR | Valor: """ | Linha: 26
Posição(106)| NOME: DELIMITADOR | Valor: ";" | Linha: 26
Posição(107)| NOME: PALAVRA_RESERVADA | Valor: else | Linha: 27
Posição(108)| NOME: PALAVRA_RESERVADA | Valor: echo | Linha: 28
Posição(109)| NOME: DELIMITADOR | Valor: """ | Linha: 28
Posição(110)| NOME: STRING | Valor: noite | Linha: 28
Posição(111)| NOME: DELIMITADOR | Valor: """ | Linha: 28
Posição(112)| NOME: DELIMITADOR | Valor: ";" | Linha: 28
Posição(113)| NOME: TAG_FECHAMENTO | Valor: ?> | Linha: 31
